phase,scenario,sample,run_id,kind,target,seconds,succeeded
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[python-builder 4/5] COPY requirements.txt .,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[runtime  6/13] COPY config/ config/,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[frontend-builder 8/8] RUN pnpm exec vite build,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[runtime  2/13] WORKDIR /app,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[frontend-builder 4/8] COPY frontend/.npmrc frontend/package.json frontend/pnpm-lock.yaml frontend/pnpm-workspace.yaml ./,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,"[python-builder 3/5] RUN --mount=type=cache,target=/var/cache/apt,sharing=locked     --mount=type=cache,target=/var/lib/apt,sharing=locked     sed -i 's|http://deb.debian.org|https://deb.debian.org|g' /etc/apt/sources.list.d/debian.sources     && apt-get -o Acquire::Retries=5 update     && apt-get install -y --no-install-recommends     gcc     && rm -rf /var/lib/apt/lists/*",0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,[runtime 13/13] RUN chmod +x /app/entrypoint.sh,0.0,True
before,repeat,3,b-4ea9b17dbd3f,build_step_may_overlap,exporting to image,2.1,True
before,repeat,4,b-d6a5a3be12ae,wall,,43.320754399999714,True
before,repeat,4,b-d6a5a3be12ae,build,,9.973285200001555,True
before,repeat,4,b-d6a5a3be12ae,continuation_wait_overlaps_build,,7.060109500000181,
before,repeat,4,b-d6a5a3be12ae,run_command,"[""host-tts-start""]",1.1781465999993088,True
before,repeat,4,b-d6a5a3be12ae,run_command,"[""host-tts-preflight""]",0.36512799999945855,True
before,repeat,4,b-d6a5a3be12ae,run_command,"[""host-rvc-start""]",0.5659568999999465,True
before,repeat,4,b-d6a5a3be12ae,run_command,"[""host-rvc-preflight""]",0.35345439999946393,True
before,repeat,4,b-d6a5a3be12ae,run_command,"[""docker"", ""compose"", ""up"", ""-d"", ""--no-build"", ""animetta""]",15.920837700001357,True
before,repeat,4,b-d6a5a3be12ae,check_http,"""http://localhost/health""",5.021602000000712,True
before,repeat,4,b-d6a5a3be12ae,check_http,"""http://localhost/ready""",5.0279976000001625,True
before,repeat,4,b-d6a5a3be12ae,check_http,"""http://localhost""",0.015508299999055453,True
before,repeat,4,b-d6a5a3be12ae,run_command,"[""docker"", ""compose"", ""logs"", ""animetta""]",0.2211647999993147,True
before,repeat,4,b-d6a5a3be12ae,check_logs,"[""docker"", ""compose"", ""logs"", ""animetta""]",0.22403490000033344,True
before,repeat,4,b-d6a5a3be12ae,browser,"""http://localhost""",1.9893059999994875,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load local bake definitions,0.0,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load build definition from Dockerfile,0.3,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load metadata for docker.io/library/python:3.13-slim-bookworm,2.3,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load metadata for docker.io/library/node:22-bookworm-slim,2.1,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load .dockerignore,0.2,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[internal] load build context,0.4,True
before,repeat,4,b-d6a5a3be12ae,build_step_may_overlap,[frontend-builder 1/8] FROM docker.io/library/node:22-bookworm-slim@sha256:83f487e0a63425e5b4d146fb5e5be574bcbe1b7b843d3ebafdd95eaf7767a7e5,0.9,True
