utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-13T01:15:33.7209064Z,1.4600852,0 E:,0,0,99,1,0,0,23
2026-09-13T01:15:33.7209064Z,1.4600852,1 D: C:,250038,125019,98,2,1,0,23
2026-09-13T01:15:36.3387776Z,4.0715504,0 E:,0,0,99,1,0,0,46
2026-09-13T01:15:36.3387776Z,4.0715504,1 D: C:,0,358830,99,1,0,0,46
2026-09-13T01:15:38.9171170Z,6.6495491,0 E:,0,341848,2,98,1,1,22
2026-09-13T01:15:38.9171170Z,6.6495491,1 D: C:,170924,994467,98,2,1,0,22
2026-09-13T01:15:41.4804301Z,9.212899799999999,0 E:,0,289647,82,18,0,1,17
2026-09-13T01:15:41.4804301Z,9.212899799999999,1 D: C:,0,128732,91,9,17,0,17
2026-09-13T01:15:44.0636826Z,11.7967482,0 E:,0,0,99,1,0,0,27
2026-09-13T01:15:44.0636826Z,11.7967482,1 D: C:,125875,1746521,98,2,1,0,27
2026-09-13T01:15:46.6328285Z,14.365469099999999,0 E:,0,0,100,0,0,0,31
2026-09-13T01:15:46.6328285Z,14.365469099999999,1 D: C:,283095,32351485,96,4,5,1,31
2026-09-13T01:15:49.2020248Z,16.9343807,0 E:,0,0,99,1,0,0,34
2026-09-13T01:15:49.2020248Z,16.9343807,1 D: C:,0,52662775,98,2,2,0,34
2026-09-13T01:15:51.7974771Z,19.530407099999998,0 E:,0,421078,22,78,1,0,22
2026-09-13T01:15:51.7974771Z,19.530407099999998,1 D: C:,0,0,99,1,0,0,22
2026-09-13T01:15:54.3941318Z,22.1269057,0 E:,0,590844,10,90,2,1,37
2026-09-13T01:15:54.3941318Z,22.1269057,1 D: C:,0,511000,99,1,0,0,37
2026-09-13T01:15:56.9688660Z,24.7013797,0 E:,0,587408,1,99,2,1,20
2026-09-13T01:15:56.9688660Z,24.7013797,1 D: C:,0,61832,99,1,0,0,20
2026-09-13T01:15:59.5411293Z,27.2740588,0 E:,0,854274,5,95,3,1,19
2026-09-13T01:15:59.5411293Z,27.2740588,1 D: C:,0,0,99,1,0,0,19
2026-09-13T01:16:02.1036663Z,29.836238299999998,0 E:,0,612606,2,98,3,1,21
2026-09-13T01:16:02.1036663Z,29.836238299999998,1 D: C:,80606,757696,99,1,0,0,21
2026-09-13T01:16:04.6821972Z,32.4155059,0 E:,0,540127,0,100,28,2,22
2026-09-13T01:16:04.6821972Z,32.4155059,1 D: C:,0,47658,98,2,0,0,22
2026-09-13T01:16:07.2605962Z,34.9941865,0 E:,0,161002,1,99,1,1,31
2026-09-13T01:16:07.2605962Z,34.9941865,1 D: C:,96601,229685523,91,9,19,0,31
2026-09-13T01:16:09.8426673Z,37.5751516,0 E:,0,748629,2,98,2,1,24
2026-09-13T01:16:09.8426673Z,37.5751516,1 D: C:,254852,270780,97,3,3,0,24
2026-09-13T01:16:12.4194726Z,40.1520487,0 E:,0,525562,0,100,16,1,30
2026-09-13T01:16:12.4194726Z,40.1520487,1 D: C:,0,207039,99,1,0,0,30
2026-09-13T01:16:14.9899763Z,42.7226917,0 E:,0,357951,27,73,2,0,36
2026-09-13T01:16:14.9899763Z,42.7226917,1 D: C:,0,0,99,1,0,0,36
2026-09-13T01:16:17.5743308Z,45.3068623,0 E:,0,0,100,0,0,0,25
2026-09-13T01:16:17.5743308Z,45.3068623,1 D: C:,526327,185762,98,2,1,0,25
2026-09-13T01:16:20.1521610Z,47.884621499999994,0 E:,0,553574,2,98,3,1,36
2026-09-13T01:16:20.1521610Z,47.884621499999994,1 D: C:,0,237246,58,42,0,1,36
2026-09-13T01:16:22.7280028Z,50.460233599999995,0 E:,0,0,99,1,0,0,24
2026-09-13T01:16:22.7280028Z,50.460233599999995,1 D: C:,0,0,99,1,0,0,24
2026-09-13T01:16:25.3065464Z,53.0390285,0 E:,0,439173,13,87,2,0,27
2026-09-13T01:16:25.3065464Z,53.0390285,1 D: C:,0,130125,99,1,0,0,27
2026-09-13T01:16:27.9323043Z,55.6650308,0 E:,0,0,100,0,0,0,50
2026-09-13T01:16:27.9323043Z,55.6650308,1 D: C:,79365,435543,98,2,1,0,50
2026-09-13T01:16:30.5141514Z,58.2466109,0 E:,0,0,100,0,0,0,34
2026-09-13T01:16:30.5141514Z,58.2466109,1 D: C:,63368,586154,98,2,1,0,34
2026-09-13T01:16:33.1008504Z,60.8335118,0 E:,0,769345,2,98,2,1,23
2026-09-13T01:16:33.1008504Z,60.8335118,1 D: C:,17663,190373,99,1,0,0,23
2026-09-13T01:16:35.6962895Z,63.428869999999996,0 E:,0,0,99,1,0,0,12
2026-09-13T01:16:35.6962895Z,63.428869999999996,1 D: C:,0,0,99,1,0,0,12
2026-09-13T01:16:38.2865023Z,66.0190468,0 E:,0,12281084,38,62,20,1,14
2026-09-13T01:16:38.2865023Z,66.0190468,1 D: C:,95945,21133568,70,30,208,0,14
