utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-12T23:44:35.0787460Z,1.5317583,0 E:,0,0,99,1,0,0,17
2026-09-12T23:44:35.0787460Z,1.5317583,1 D: C:,187980,915381,98,2,1,0,17
2026-09-12T23:44:37.7839114Z,4.2272555999999994,0 E:,0,0,100,0,0,0,13
2026-09-12T23:44:37.7839114Z,4.2272555999999994,1 D: C:,1747937,6542739,89,11,7,0,13
2026-09-12T23:44:40.4054546Z,6.8498589999999995,0 E:,264280,62183,72,28,8,0,28
2026-09-12T23:44:40.4054546Z,6.8498589999999995,1 D: C:,4572440,6033755,86,14,8,1,28
2026-09-12T23:44:43.0364937Z,9.4800051,0 E:,715311,0,86,14,13,0,51
2026-09-12T23:44:43.0364937Z,9.4800051,1 D: C:,0,0,100,0,0,0,51
2026-09-12T23:44:45.6150335Z,12.0586126,0 E:,0,641703,37,63,1,1,18
2026-09-12T23:44:45.6150335Z,12.0586126,1 D: C:,344328,751262,98,2,1,0,18
2026-09-12T23:44:48.2235031Z,14.6676849,0 E:,178096,696193,3,97,15,1,23
2026-09-12T23:44:48.2235031Z,14.6676849,1 D: C:,0,1181910,99,1,0,0,23
2026-09-12T23:44:50.8004534Z,17.2438791,0 E:,0,0,99,1,0,0,22
2026-09-12T23:44:50.8004534Z,17.2438791,1 D: C:,3058656,13365692,79,21,13,0,22
2026-09-12T23:44:53.4086007Z,19.8523432,0 E:,16222,616459,3,97,4,1,17
2026-09-12T23:44:53.4086007Z,19.8523432,1 D: C:,81113,81113,99,1,0,0,17
2026-09-12T23:44:55.9768102Z,22.4209043,0 E:,0,0,100,0,0,0,17
2026-09-12T23:44:55.9768102Z,22.4209043,1 D: C:,253779,15861,99,1,0,0,17
2026-09-12T23:44:58.5537767Z,24.9972754,0 E:,0,1151384,3,97,4,1,19
2026-09-12T23:44:58.5537767Z,24.9972754,1 D: C:,248948,108914,46,54,0,3,19
2026-09-12T23:45:01.1831612Z,27.6268173,0 E:,0,390833,6,94,2,1,26
2026-09-12T23:45:01.1831612Z,27.6268173,1 D: C:,187600,3486234,98,2,2,0,26
2026-09-12T23:45:03.7784757Z,30.222274799999997,0 E:,0,774393,3,97,4,1,26
2026-09-12T23:45:03.7784757Z,30.222274799999997,1 D: C:,426706,3129181,95,5,4,0,26
2026-09-12T23:45:06.4004899Z,32.8437481,0 E:,0,4859423,2,98,45,1,19
2026-09-12T23:45:06.4004899Z,32.8437481,1 D: C:,0,716964,99,1,0,0,19
2026-09-12T23:45:08.9639438Z,35.4071577,0 E:,0,1325860,0,100,94,1,27
2026-09-12T23:45:08.9639438Z,35.4071577,1 D: C:,392847,3093674,95,5,2,0,27
2026-09-12T23:45:11.5388996Z,37.9823836,0 E:,0,784343,2,98,8,1,49
2026-09-12T23:45:11.5388996Z,37.9823836,1 D: C:,256112,1360596,97,3,1,0,49
2026-09-12T23:45:14.1850971Z,40.6283621,0 E:,0,0,99,1,0,0,35
2026-09-12T23:45:14.1850971Z,40.6283621,1 D: C:,0,0,99,1,0,0,35
2026-09-12T23:45:16.7771640Z,43.220676999999995,0 E:,0,19964221,12,88,30,2,26
2026-09-12T23:45:16.7771640Z,43.220676999999995,1 D: C:,312673,2126181,96,4,1,0,26
2026-09-12T23:45:19.3571652Z,45.800656599999996,0 E:,0,0,99,1,0,0,33
2026-09-12T23:45:19.3571652Z,45.800656599999996,1 D: C:,0,16299,99,1,0,0,33
2026-09-12T23:45:21.9962469Z,48.4395471,0 E:,0,0,100,0,0,0,42
2026-09-12T23:45:21.9962469Z,48.4395471,1 D: C:,1137349,7424362,85,15,6,0,42
2026-09-12T23:45:24.5664029Z,51.010039299999995,0 E:,0,30931,99,1,0,0,33
2026-09-12T23:45:24.5664029Z,51.010039299999995,1 D: C:,0,61862,99,1,0,0,33
2026-09-12T23:45:27.1536519Z,53.596851199999996,0 E:,0,44170642,3,97,38,1,52
2026-09-12T23:45:27.1536519Z,53.596851199999996,1 D: C:,62015,15503,98,2,1,0,52
2026-09-12T23:45:29.7734783Z,56.2169822,0 E:,0,0,100,0,0,0,30
2026-09-12T23:45:29.7734783Z,56.2169822,1 D: C:,2225498,21889368,95,5,7,0,30
2026-09-12T23:45:32.3715630Z,58.8152511,0 E:,0,0,100,0,0,0,39
2026-09-12T23:45:32.3715630Z,58.8152511,1 D: C:,62396,1653514,98,2,1,0,39
2026-09-12T23:45:34.9731158Z,61.4165369,0 E:,0,747127,3,97,5,1,52
2026-09-12T23:45:34.9731158Z,61.4165369,1 D: C:,933909,5572325,89,11,4,1,52
2026-09-12T23:45:37.5649127Z,64.00815,0 E:,0,247064,70,30,0,0,35
2026-09-12T23:45:37.5649127Z,64.00815,1 D: C:,0,108090,99,1,0,0,35
2026-09-12T23:45:40.1769996Z,66.62069939999999,0 E:,0,6303357,0,100,418,1,50
2026-09-12T23:45:40.1769996Z,66.62069939999999,1 D: C:,255973,431955,99,1,0,0,50
2026-09-12T23:45:42.7636892Z,69.2076381,0 E:,0,0,0,100,0,12,27
2026-09-12T23:45:42.7636892Z,69.2076381,1 D: C:,270517,1082069,95,5,83,0,27
2026-09-12T23:45:45.3446522Z,71.789165,0 E:,0,926230,2,98,4,1,23
2026-09-12T23:45:45.3446522Z,71.789165,1 D: C:,233487,434170,98,2,1,0,23
2026-09-12T23:45:47.9229294Z,74.3668655,0 E:,0,265465159,0,100,436,3,28
2026-09-12T23:45:47.9229294Z,74.3668655,1 D: C:,754117,1728186,97,3,0,0,28
2026-09-12T23:45:50.5086397Z,76.95310309999999,0 E:,0,1181215,1,99,11,1,20
2026-09-12T23:45:50.5086397Z,76.95310309999999,1 D: C:,277100,535996,97,3,1,0,20
2026-09-12T23:45:53.0866947Z,79.5301966,0 E:,0,220819,99,1,0,0,23
2026-09-12T23:45:53.0866947Z,79.5301966,1 D: C:,2255510,5378526,88,12,5,0,23
2026-09-12T23:45:55.7115560Z,82.1548215,0 E:,0,0,100,0,0,0,24
2026-09-12T23:45:55.7115560Z,82.1548215,1 D: C:,309747,2524442,99,1,0,0,24
2026-09-12T23:45:58.2913250Z,84.7347307,0 E:,0,36585704,0,100,66,1,10
2026-09-12T23:45:58.2913250Z,84.7347307,1 D: C:,256854,3499641,96,4,8,0,10
2026-09-12T23:46:00.8620909Z,87.3060094,0 E:,0,711009,1,99,7,1,22
2026-09-12T23:46:00.8620909Z,87.3060094,1 D: C:,0,452460,99,1,0,0,22
2026-09-12T23:46:03.4538050Z,89.8974806,0 E:,0,1233539,2,98,37,1,20
2026-09-12T23:46:03.4538050Z,89.8974806,1 D: C:,1537918,8602733,82,18,7,0,20
2026-09-12T23:46:06.0444391Z,92.4880874,0 E:,0,628277,3,97,1,1,56
2026-09-12T23:46:06.0444391Z,92.4880874,1 D: C:,62827,706812,99,1,0,0,56
2026-09-12T23:46:08.6286086Z,95.07221,0 E:,0,13344594,87,13,64,0,73
2026-09-12T23:46:08.6286086Z,95.07221,1 D: C:,185987,759448,98,2,0,0,73
2026-09-12T23:46:11.1933061Z,97.636735,0 E:,0,29541690,1,99,2410,29,53
2026-09-12T23:46:11.1933061Z,97.636735,1 D: C:,31310,798424,124,0,55,0,53
2026-09-12T23:46:13.7722417Z,100.21546839999999,0 E:,0,57349883,2,98,962,26,41
2026-09-12T23:46:13.7722417Z,100.21546839999999,1 D: C:,0,0,99,1,0,0,41
2026-09-12T23:46:16.3503493Z,102.7938341,0 E:,0,41036325,14,86,799,0,27
2026-09-12T23:46:16.3503493Z,102.7938341,1 D: C:,46351,2024005,97,3,1,0,27
2026-09-12T23:46:18.9354362Z,105.3791869,0 E:,15610,71012542,0,100,100,1,39
2026-09-12T23:46:18.9354362Z,105.3791869,1 D: C:,0,577591,99,1,0,0,39
2026-09-12T23:46:21.5073373Z,107.950666,0 E:,0,60814848,0,100,50,1,26
2026-09-12T23:46:21.5073373Z,107.950666,1 D: C:,1970483,6451745,93,7,4,0,26
2026-09-12T23:46:24.1912355Z,110.634751,0 E:,0,79441517,0,100,66,1,23
2026-09-12T23:46:24.1912355Z,110.634751,1 D: C:,806827,3584177,96,4,5,0,23
2026-09-12T23:46:26.7753929Z,113.2189734,0 E:,0,23952249,0,100,112,1,34
2026-09-12T23:46:26.7753929Z,113.2189734,1 D: C:,254303,174833,99,1,0,0,34
2026-09-12T23:46:29.3921930Z,115.8354964,0 E:,0,10099565,1,99,22,2,58
2026-09-12T23:46:29.3921930Z,115.8354964,1 D: C:,310755,1460552,96,4,1,0,58
2026-09-12T23:46:32.0117777Z,118.45526869999999,0 E:,0,39206711,1,99,85,1,28
2026-09-12T23:46:32.0117777Z,118.45526869999999,1 D: C:,0,32536,100,0,0,0,28
2026-09-12T23:46:34.6363179Z,121.0795248,0 E:,0,907513,2,98,5,1,34
2026-09-12T23:46:34.6363179Z,121.0795248,1 D: C:,0,109527,99,1,0,0,34
2026-09-12T23:46:37.1976710Z,123.64133969999999,0 E:,0,63673,41,59,0,0,36
2026-09-12T23:46:37.1976710Z,123.64133969999999,1 D: C:,0,0,100,0,0,0,36
2026-09-12T23:46:39.7678787Z,126.2111434,0 E:,0,3621769,98,2,1,0,34
2026-09-12T23:46:39.7678787Z,126.2111434,1 D: C:,16025,128204,99,1,0,0,34
2026-09-12T23:46:42.3379663Z,128.781649,0 E:,125516,627582,0,100,132,2,40
2026-09-12T23:46:42.3379663Z,128.781649,1 D: C:,0,643272,98,2,1,0,40
2026-09-12T23:46:44.9162787Z,131.3596541,0 E:,0,782293,2,98,8,1,21
2026-09-12T23:46:44.9162787Z,131.3596541,1 D: C:,2753674,10842593,83,17,9,0,21
2026-09-12T23:46:47.4823957Z,133.9264107,0 E:,0,597855,2,98,1,1,13
2026-09-12T23:46:47.4823957Z,133.9264107,1 D: C:,274690,5299910,95,5,4,0,13
2026-09-12T23:46:50.0789446Z,136.52235579999999,0 E:,0,654291,3,97,1,1,19
2026-09-12T23:46:50.0789446Z,136.52235579999999,1 D: C:,2649081,2473539,96,4,4,0,19
2026-09-12T23:46:52.6396106Z,139.0829618,0 E:,0,586331,2,98,1,1,35
2026-09-12T23:46:52.6396106Z,139.0829618,1 D: C:,1384392,700339,95,5,4,0,35
2026-09-12T23:46:55.2846636Z,141.7283422,0 E:,0,632382,4,96,1,1,22
2026-09-12T23:46:55.2846636Z,141.7283422,1 D: C:,0,47428,99,1,0,0,22
2026-09-12T23:46:57.8893717Z,144.3327319,0 E:,0,716299,10,90,1,1,22
2026-09-12T23:46:57.8893717Z,144.3327319,1 D: C:,191013,1384846,96,4,2,0,22
2026-09-12T23:47:00.4663190Z,146.909636,0 E:,0,636472,2,98,1,1,29
2026-09-12T23:47:00.4663190Z,146.909636,1 D: C:,0,388092,99,1,0,0,29
2026-09-12T23:47:03.0475007Z,149.49123609999998,0 E:,0,478325,6,94,1,1,14
2026-09-12T23:47:03.0475007Z,149.49123609999998,1 D: C:,1020428,5436968,89,11,4,0,14
2026-09-12T23:47:05.6452158Z,152.0890474,0 E:,0,681840,19,81,1,1,16
2026-09-12T23:47:05.6452158Z,152.0890474,1 D: C:,32929,497821,98,2,0,0,16
2026-09-12T23:47:08.2366851Z,154.6807294,0 E:,0,727460,7,93,1,1,16
2026-09-12T23:47:08.2366851Z,154.6807294,1 D: C:,2408702,226321,95,5,4,0,16
2026-09-12T23:47:10.8123652Z,157.25631579999998,0 E:,0,321678,1,99,1,1,16
2026-09-12T23:47:10.8123652Z,157.25631579999998,1 D: C:,16083,450349,96,4,2,0,16
2026-09-12T23:47:13.3931624Z,159.83728689999998,0 E:,0,755246,5,95,1,0,23
