utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-13T01:01:16.9915324Z,6.4930001,0 E:,0,0,100,0,0,0,81
2026-09-13T01:01:16.9915324Z,6.4930001,1 D: C:,220958,1893927,97,3,2,0,81
2026-09-13T01:01:19.6473206Z,9.139520899999999,0 E:,0,733918,1,99,24,1,38
2026-09-13T01:01:19.6473206Z,9.139520899999999,1 D: C:,18347,246678,96,4,2,0,38
2026-09-13T01:01:22.2302214Z,11.722100699999999,0 E:,0,0,88,12,0,0,38
2026-09-13T01:01:22.2302214Z,11.722100699999999,1 D: C:,15873,492090,99,1,0,0,38
2026-09-13T01:01:24.8095602Z,14.3013692,0 E:,0,0,99,1,0,0,49
2026-09-13T01:01:24.8095602Z,14.3013692,1 D: C:,785391,832515,98,2,1,0,49
2026-09-13T01:01:27.4199844Z,16.9117596,0 E:,0,633081,3,97,1,1,62
2026-09-13T01:01:27.4199844Z,16.9117596,1 D: C:,0,15441,99,1,0,0,62
2026-09-13T01:01:30.0119471Z,19.503574399999998,0 E:,0,0,99,1,0,0,57
2026-09-13T01:01:30.0119471Z,19.503574399999998,1 D: C:,528865,622194,95,5,12,0,57
2026-09-13T01:01:32.5876140Z,22.0797949,0 E:,0,409235,2,98,2,1,27
2026-09-13T01:01:32.5876140Z,22.0797949,1 D: C:,7712511,52791354,88,12,23,0,27
2026-09-13T01:01:35.1460425Z,24.638219199999998,0 E:,113116,0,93,7,6,0,39
2026-09-13T01:01:35.1460425Z,24.638219199999998,1 D: C:,0,307030,99,1,0,0,39
2026-09-13T01:01:37.7434736Z,27.2356658,0 E:,108385,944504,2,98,5,1,45
2026-09-13T01:01:37.7434736Z,27.2356658,1 D: C:,0,77418,99,1,0,0,45
2026-09-13T01:01:40.3167444Z,29.808571899999997,0 E:,0,0,99,1,0,0,39
2026-09-13T01:01:40.3167444Z,29.808571899999997,1 D: C:,48297,108185,99,1,0,0,39
2026-09-13T01:01:42.8917787Z,32.3834172,0 E:,15636,76023880,0,100,90,1,32
2026-09-13T01:01:42.8917787Z,32.3834172,1 D: C:,0,156363,99,1,0,0,32
2026-09-13T01:01:45.4510758Z,34.9433316,0 E:,0,436867,2,98,2,1,55
2026-09-13T01:01:45.4510758Z,34.9433316,1 D: C:,323605,355966,98,2,0,0,55
2026-09-13T01:01:48.0245353Z,37.5164626,0 E:,0,332945,0,100,64,5,63
2026-09-13T01:01:48.0245353Z,37.5164626,1 D: C:,0,95127,39,61,20,0,63
2026-09-13T01:01:50.6017557Z,40.0934263,0 E:,0,392379,1,99,3,1,55
2026-09-13T01:01:50.6017557Z,40.0934263,1 D: C:,1255614,47085,98,2,2,0,55
2026-09-13T01:01:53.1690070Z,42.6607445,0 E:,0,543292,1,99,4,1,34
2026-09-13T01:01:53.1690070Z,42.6607445,1 D: C:,0,798958,99,1,0,0,34
2026-09-13T01:01:55.7378766Z,45.229769,0 E:,0,435865,0,100,40,5,48
2026-09-13T01:01:55.7378766Z,45.229769,1 D: C:,202366,0,99,1,0,0,48
2026-09-13T01:01:58.3313517Z,47.8230491,0 E:,0,435568,1,99,2,1,37
