utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-13T00:46:31.6640175Z,1.4206117,0 E:,0,0,99,1,0,0,59
2026-09-13T00:46:31.6640175Z,1.4206117,1 D: C:,21869149,596413,84,16,16,1,59
2026-09-13T00:46:34.3080033Z,4.058461299999999,0 E:,0,0,99,1,0,0,30
2026-09-13T00:46:34.3080033Z,4.058461299999999,1 D: C:,32160,0,99,1,0,0,30
2026-09-13T00:46:36.8895664Z,6.6394408,0 E:,125629,486813,1,99,47,1,43
2026-09-13T00:46:36.8895664Z,6.6394408,1 D: C:,0,172740,99,1,0,0,43
2026-09-13T00:46:39.4770147Z,9.2269942,0 E:,0,0,100,0,0,0,31
2026-09-13T00:46:39.4770147Z,9.2269942,1 D: C:,0,342328,98,2,1,0,31
2026-09-13T00:46:42.0563240Z,11.8060393,0 E:,0,64191,73,27,0,0,30
2026-09-13T00:46:42.0563240Z,11.8060393,1 D: C:,80239,417245,98,2,1,0,30
2026-09-13T00:46:44.6473686Z,14.397141,0 E:,0,600734,3,97,3,1,18
2026-09-13T00:46:44.6473686Z,14.397141,1 D: C:,205514,1043381,98,2,0,0,18
2026-09-13T00:46:47.2290600Z,16.979727699999998,0 E:,0,0,100,0,0,0,36
2026-09-13T00:46:47.2290600Z,16.979727699999998,1 D: C:,0,0,100,0,0,0,36
2026-09-13T00:46:49.8218849Z,19.571825399999998,0 E:,0,16327,99,1,0,0,39
2026-09-13T00:46:49.8218849Z,19.571825399999998,1 D: C:,16327,489827,91,9,15,0,39
2026-09-13T00:46:52.4227436Z,22.1726398,0 E:,0,471393,3,97,2,0,23
2026-09-13T00:46:52.4227436Z,22.1726398,1 D: C:,650197,6063095,97,3,4,0,23
2026-09-13T00:46:54.9958398Z,24.7456359,0 E:,0,792927,3,97,3,1,29
2026-09-13T00:46:54.9958398Z,24.7456359,1 D: C:,62190,14303782,97,3,8,0,29
2026-09-13T00:46:57.5816319Z,27.331695,0 E:,0,824230,2,98,2,1,27
2026-09-13T00:46:57.5816319Z,27.331695,1 D: C:,0,258582,99,1,0,0,27
2026-09-13T00:47:00.1705531Z,29.920401899999998,0 E:,0,66876557,0,100,1869,1,48
2026-09-13T00:47:00.1705531Z,29.920401899999998,1 D: C:,284853,620088,98,2,1,0,48
2026-09-13T00:47:02.7437216Z,32.4938305,0 E:,0,677731,3,97,3,1,28
2026-09-13T00:47:02.7437216Z,32.4938305,1 D: C:,0,0,99,1,0,0,28
2026-09-13T00:47:05.3209415Z,35.0719073,0 E:,31516,3703230,2,98,37,1,33
2026-09-13T00:47:05.3209415Z,35.0719073,1 D: C:,94550,551544,98,2,1,0,33
2026-09-13T00:47:07.9165263Z,37.6666543,0 E:,16037,40542848,0,100,1032,2,37
2026-09-13T00:47:07.9165263Z,37.6666543,1 D: C:,0,320750,99,1,0,0,37
2026-09-13T00:47:10.4822967Z,40.2319588,0 E:,0,312189,4,96,2,1,62
2026-09-13T00:47:10.4822967Z,40.2319588,1 D: C:,1313145,1016565,96,4,3,0,62
2026-09-13T00:47:13.0869518Z,42.837006599999995,0 E:,48455,29396244,0,100,349,3,34
2026-09-13T00:47:13.0869518Z,42.837006599999995,1 D: C:,0,80758,99,1,0,0,34
2026-09-13T00:47:15.6694973Z,45.419269299999996,0 E:,15603,780195,1,99,33,1,50
2026-09-13T00:47:15.6694973Z,45.419269299999996,1 D: C:,15603,7130989,99,1,1,0,50
2026-09-13T00:47:18.2513250Z,48.0014666,0 E:,0,389025,0,100,106,1,41
2026-09-13T00:47:18.2513250Z,48.0014666,1 D: C:,178303,2561081,98,2,1,0,41
2026-09-13T00:47:20.8352597Z,50.5852858,0 E:,0,0,99,1,0,0,33
2026-09-13T00:47:20.8352597Z,50.5852858,1 D: C:,1635040,301609,96,4,3,0,33
2026-09-13T00:47:23.4305300Z,53.180251299999995,0 E:,15995,687807,1,99,4,2,47
2026-09-13T00:47:23.4305300Z,53.180251299999995,1 D: C:,31991,111968,98,2,1,0,47
2026-09-13T00:47:26.0294863Z,55.779595,0 E:,0,0,100,0,0,0,50
2026-09-13T00:47:26.0294863Z,55.779595,1 D: C:,0,312624,99,1,0,0,50
2026-09-13T00:47:28.6194298Z,58.3694285,0 E:,0,2132862,26,74,18,0,33
2026-09-13T00:47:28.6194298Z,58.3694285,1 D: C:,3981343,284381,77,23,51,0,33
2026-09-13T00:47:31.2081715Z,60.9578953,0 E:,0,0,100,0,0,0,47
2026-09-13T00:47:31.2081715Z,60.9578953,1 D: C:,499156,109190,99,1,0,0,47
2026-09-13T00:47:33.7962209Z,63.5459349,0 E:,0,982852,3,97,15,1,51
2026-09-13T00:47:33.7962209Z,63.5459349,1 D: C:,16112,1015076,93,7,5,0,51
2026-09-13T00:47:36.3668438Z,66.116533,0 E:,0,3837855,4,96,3,3,43
2026-09-13T00:47:36.3668438Z,66.116533,1 D: C:,0,222024,99,1,0,0,43
2026-09-13T00:47:38.9566644Z,68.70636619999999,0 E:,0,5941435,1,99,338,124,50
2026-09-13T00:47:38.9566644Z,68.70636619999999,1 D: C:,63715,509720,99,1,0,0,50
2026-09-13T00:47:41.5350995Z,71.28477409999999,0 E:,0,70924425,0,100,182,1,32
2026-09-13T00:47:41.5350995Z,71.28477409999999,1 D: C:,294292,1357014,99,1,0,0,32
2026-09-13T00:47:44.1201435Z,73.8704989,0 E:,0,36746880,0,100,662,5,18
2026-09-13T00:47:44.1201435Z,73.8704989,1 D: C:,0,784232,99,1,0,0,18
2026-09-13T00:47:46.7094106Z,76.4593829,0 E:,0,45494982,0,100,730,2,39
2026-09-13T00:47:46.7094106Z,76.4593829,1 D: C:,47489,696513,98,2,1,0,39
2026-09-13T00:47:49.2980300Z,79.0479701,0 E:,0,7022274,0,100,701,1,61
2026-09-13T00:47:49.2980300Z,79.0479701,1 D: C:,0,0,100,0,0,0,61
2026-09-13T00:47:51.8764491Z,81.62660819999999,0 E:,0,517532,1,99,18,1,43
2026-09-13T00:47:51.8764491Z,81.62660819999999,1 D: C:,15682,972333,99,1,0,0,43
2026-09-13T00:47:54.4752889Z,84.2249191,0 E:,0,924001,0,100,463,5,51
2026-09-13T00:47:54.4752889Z,84.2249191,1 D: C:,79655,159310,99,1,0,0,51
