utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-13T01:39:55.5354036Z,92.76154419999999,1 D: C:,0,16224,99,1,0,0,48
2026-09-13T01:39:58.1109994Z,95.3369105,0 E:,0,37121986,0,100,3939,9,50
2026-09-13T01:39:58.1109994Z,95.3369105,1 D: C:,0,208011,99,1,0,0,50
2026-09-13T01:40:00.6669872Z,97.89300949999999,0 E:,0,10512439,0,100,10517,44,23
2026-09-13T01:40:00.6669872Z,97.89300949999999,1 D: C:,0,0,99,1,0,0,23
2026-09-13T01:40:03.2449695Z,100.47132099999999,0 E:,0,105421359,0,100,117,1,32
2026-09-13T01:40:03.2449695Z,100.47132099999999,1 D: C:,0,727152,99,1,0,0,32
2026-09-13T01:40:05.8488605Z,103.07492649999999,0 E:,0,3441994,0,100,6263,124,34
2026-09-13T01:40:05.8488605Z,103.07492649999999,1 D: C:,0,93026,99,1,0,0,34
2026-09-13T01:40:08.4277685Z,105.6534545,0 E:,0,37083406,0,100,163,1,67
2026-09-13T01:40:08.4277685Z,105.6534545,1 D: C:,0,470025,98,2,1,0,67
2026-09-13T01:40:11.0274030Z,108.25334129999999,0 E:,0,30962,0,100,107,2,26
2026-09-13T01:40:11.0274030Z,108.25334129999999,1 D: C:,0,154814,99,1,0,1,26
2026-09-13T01:40:13.5885208Z,110.81440219999999,0 E:,0,16439453,0,100,76,1,25
2026-09-13T01:40:13.5885208Z,110.81440219999999,1 D: C:,0,12341642,98,2,2,0,25
2026-09-13T01:40:16.1692704Z,113.3951118,0 E:,15995,31638644,0,100,56,1,43
2026-09-13T01:40:16.1692704Z,113.3951118,1 D: C:,27991,8253559,99,1,0,0,43
2026-09-13T01:40:18.7572740Z,115.9832268,0 E:,0,35499120,0,100,1359,1,18
2026-09-13T01:40:18.7572740Z,115.9832268,1 D: C:,179866,637708,96,4,3,0,18
2026-09-13T01:40:21.3245293Z,118.55074139999999,0 E:,0,20061455,0,100,85,1,37
2026-09-13T01:40:21.3245293Z,118.55074139999999,1 D: C:,0,95228,99,1,0,0,37
2026-09-13T01:40:23.9812446Z,121.2076443,0 E:,0,12849436,1,99,59,2,35
2026-09-13T01:40:23.9812446Z,121.2076443,1 D: C:,176900,0,98,2,1,0,35
2026-09-13T01:40:26.5699617Z,123.79593059999999,0 E:,0,22081386,82,18,17,0,80
2026-09-13T01:40:26.5699617Z,123.79593059999999,1 D: C:,109779,235242,98,2,1,0,80
2026-09-13T01:40:29.1351047Z,126.36101029999999,0 E:,16273,52758235,30,70,355,2,48
2026-09-13T01:40:29.1351047Z,126.36101029999999,1 D: C:,2815291,911308,95,5,4,0,48
2026-09-13T01:40:31.7247585Z,128.9505728,0 E:,0,76699267,2,98,84,10,71
2026-09-13T01:40:31.7247585Z,128.9505728,1 D: C:,1780376,5865705,94,6,5,0,71
2026-09-13T01:40:34.2973159Z,131.52325919999998,0 E:,0,69724189,2,98,249,1,37
2026-09-13T01:40:34.2973159Z,131.52325919999998,1 D: C:,0,402378,99,1,0,0,37
2026-09-13T01:40:36.8750842Z,134.100774,0 E:,15762,48423714,1,99,70,1,46
2026-09-13T01:40:36.8750842Z,134.100774,1 D: C:,0,362547,99,1,0,0,46
2026-09-13T01:40:39.4532939Z,136.6797603,0 E:,0,90019203,1,99,97,1,10
2026-09-13T01:40:39.4532939Z,136.6797603,1 D: C:,0,335534,99,1,0,0,10
2026-09-13T01:40:42.0131140Z,139.238996,0 E:,0,96134802,0,100,168,1,24
2026-09-13T01:40:42.0131140Z,139.238996,1 D: C:,15879,2636005,98,2,1,0,24
2026-09-13T01:40:44.5907376Z,141.81683049999998,0 E:,0,62607925,0,100,75,1,28
2026-09-13T01:40:44.5907376Z,141.81683049999998,1 D: C:,31477,0,99,1,0,0,28
2026-09-13T01:40:47.1526949Z,144.3792632,0 E:,0,162450125,0,100,2405,11,16
2026-09-13T01:40:47.1526949Z,144.3792632,1 D: C:,0,712855,98,2,0,0,16
2026-09-13T01:40:49.7793874Z,147.0060087,0 E:,0,62415981,0,100,68,1,51
2026-09-13T01:40:49.7793874Z,147.0060087,1 D: C:,828962,32508,99,1,0,0,51
2026-09-13T01:40:52.3590888Z,149.5854037,0 E:,0,16960264,0,100,2117,1,27
2026-09-13T01:40:52.3590888Z,149.5854037,1 D: C:,0,48829,99,1,0,0,27
2026-09-13T01:40:54.9680354Z,152.19456689999998,0 E:,0,322636,1,99,3,1,14
2026-09-13T01:40:54.9680354Z,152.19456689999998,1 D: C:,0,435559,99,1,0,0,14
2026-09-13T01:40:57.5731420Z,154.7997679,0 E:,0,32441618,0,100,163,1,34
2026-09-13T01:40:57.5731420Z,154.7997679,1 D: C:,0,0,100,0,0,0,34
2026-09-13T01:41:00.1782603Z,157.4045428,0 E:,0,411587,1,99,3,0,30
2026-09-13T01:41:00.1782603Z,157.4045428,1 D: C:,17809,777662,98,2,1,0,30
2026-09-13T01:41:02.7523479Z,159.9786725,0 E:,0,0,99,1,0,0,34
2026-09-13T01:41:02.7523479Z,159.9786725,1 D: C:,185795,11751539,97,3,3,0,34
2026-09-13T01:41:05.3316247Z,162.5574542,0 E:,0,0,100,0,0,0,42
2026-09-13T01:41:05.3316247Z,162.5574542,1 D: C:,0,9258958,98,2,3,0,42
2026-09-13T01:41:07.8993375Z,165.12534169999998,0 E:,0,323891,85,15,0,0,26
2026-09-13T01:41:07.8993375Z,165.12534169999998,1 D: C:,0,761145,85,15,13,0,26
2026-09-13T01:41:10.4692155Z,167.6952671,0 E:,0,62394,68,32,0,0,30
2026-09-13T01:41:10.4692155Z,167.6952671,1 D: C:,0,77993,99,1,0,0,30
2026-09-13T01:41:13.0334704Z,170.2602822,0 E:,0,735574,9,91,1,1,20
2026-09-13T01:41:13.0334704Z,170.2602822,1 D: C:,0,114422,99,1,0,0,20
2026-09-13T01:41:15.6139264Z,172.84047049999998,0 E:,0,737214,5,95,1,1,21
2026-09-13T01:41:15.6139264Z,172.84047049999998,1 D: C:,78427,172539,97,3,2,0,21
2026-09-13T01:41:18.1749404Z,175.4013039,0 E:,0,665014,5,95,1,1,21
2026-09-13T01:41:18.1749404Z,175.4013039,1 D: C:,16219,32439,99,1,0,0,21
2026-09-13T01:41:20.7549311Z,177.9808094,0 E:,0,482037,2,98,1,1,21
2026-09-13T01:41:20.7549311Z,177.9808094,1 D: C:,0,0,99,1,0,0,21
2026-09-13T01:41:23.3379170Z,180.5643254,0 E:,0,759539,7,93,1,1,34
2026-09-13T01:41:23.3379170Z,180.5643254,1 D: C:,0,355529,99,1,0,0,34
2026-09-13T01:41:25.9281645Z,183.1543482,0 E:,0,410429,2,98,1,1,18
2026-09-13T01:41:25.9281645Z,183.1543482,1 D: C:,110500,31571,99,1,0,0,18
2026-09-13T01:41:28.4966181Z,185.72289479999998,0 E:,0,335052,1,99,1,1,29
