utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-12T23:59:58.3884371Z,6.8964446,0 E:,0,731923,5,95,1,1,21
2026-09-12T23:59:58.3884371Z,6.8964446,1 D: C:,130119,536744,98,2,1,0,21
2026-09-13T00:00:01.0738159Z,9.5748454,0 E:,0,0,100,0,0,0,20
2026-09-13T00:00:01.0738159Z,9.5748454,1 D: C:,543148,170703,98,2,1,0,20
2026-09-13T00:00:03.6751307Z,12.176396299999999,0 E:,0,0,99,1,0,0,18
2026-09-13T00:00:03.6751307Z,12.176396299999999,1 D: C:,242728,631093,96,4,3,0,18
2026-09-13T00:00:06.2866170Z,14.787630799999999,0 E:,0,418234,45,55,1,0,18
2026-09-13T00:00:06.2866170Z,14.787630799999999,1 D: C:,0,1595485,99,1,0,0,18
2026-09-13T00:00:08.8774586Z,17.378780199999998,0 E:,0,0,99,1,0,0,40
2026-09-13T00:00:08.8774586Z,17.378780199999998,1 D: C:,186187,1908422,98,2,1,0,40
2026-09-13T00:00:11.4343302Z,19.935564199999998,0 E:,0,695600,3,97,3,1,20
2026-09-13T00:00:11.4343302Z,19.935564199999998,1 D: C:,0,808837,98,2,0,0,20
2026-09-13T00:00:14.0440177Z,22.545162599999998,0 E:,0,1273287,29,71,1,1,41
2026-09-13T00:00:14.0440177Z,22.545162599999998,1 D: C:,0,63664,99,1,0,0,41
2026-09-13T00:00:16.6249373Z,25.1267471,0 E:,0,768386,2,98,7,1,35
2026-09-13T00:00:16.6249373Z,25.1267471,1 D: C:,16008,608306,99,1,0,0,35
2026-09-13T00:00:19.2226093Z,27.724529399999998,0 E:,0,674001,4,96,3,1,23
2026-09-13T00:00:19.2226093Z,27.724529399999998,1 D: C:,0,564280,99,1,0,0,23
2026-09-13T00:00:21.8046131Z,30.306602599999998,0 E:,0,676268,2,98,5,1,25
2026-09-13T00:00:21.8046131Z,30.306602599999998,1 D: C:,0,0,99,1,0,0,25
2026-09-13T00:00:24.3971227Z,32.8985161,0 E:,0,1194513,2,98,3,1,73
2026-09-13T00:00:24.3971227Z,32.8985161,1 D: C:,209846,48426,99,1,0,0,73
2026-09-13T00:00:26.9969185Z,35.4983493,0 E:,0,837697,0,100,50,5,32
2026-09-13T00:00:26.9969185Z,35.4983493,1 D: C:,124103,729107,99,1,0,0,32
2026-09-13T00:00:29.5902742Z,38.0913693,0 E:,0,888850,0,100,93,1,43
2026-09-13T00:00:29.5902742Z,38.0913693,1 D: C:,15593,62375,99,1,0,0,43
2026-09-13T00:00:32.1798308Z,40.6810447,0 E:,0,1322511,3,97,1,1,49
2026-09-13T00:00:32.1798308Z,40.6810447,1 D: C:,0,1469456,99,1,0,0,49
2026-09-13T00:00:34.8036260Z,43.3048224,0 E:,0,0,99,1,0,0,35
2026-09-13T00:00:34.8036260Z,43.3048224,1 D: C:,0,494206,99,1,0,0,35
2026-09-13T00:00:37.3949239Z,45.8961836,0 E:,0,0,100,0,0,0,26
2026-09-13T00:00:37.3949239Z,45.8961836,1 D: C:,31011,620225,99,1,0,0,26
2026-09-13T00:00:39.9984526Z,48.499694399999996,0 E:,0,0,100,0,0,0,26
2026-09-13T00:00:39.9984526Z,48.499694399999996,1 D: C:,844385,1023005,98,2,1,0,26
2026-09-13T00:00:42.6179425Z,51.119116299999995,0 E:,0,0,100,0,0,0,35
2026-09-13T00:00:42.6179425Z,51.119116299999995,1 D: C:,282629,766022,98,2,1,0,35
2026-09-13T00:00:45.1933050Z,53.6943201,0 E:,0,0,100,0,0,0,35
2026-09-13T00:00:45.1933050Z,53.6943201,1 D: C:,32166,16083,99,1,0,0,35
2026-09-13T00:00:47.7778343Z,56.279280799999995,0 E:,0,0,99,1,0,0,30
2026-09-13T00:00:47.7778343Z,56.279280799999995,1 D: C:,248467,46587,99,1,0,0,30
2026-09-13T00:00:50.3550650Z,58.8565131,0 E:,0,102243185,9,91,87,1,38
2026-09-13T00:00:50.3550650Z,58.8565131,1 D: C:,15973,527109,99,1,0,0,38
2026-09-13T00:00:52.9677055Z,61.4690692,0 E:,0,0,100,0,0,0,54
2026-09-13T00:00:52.9677055Z,61.4690692,1 D: C:,0,31998,99,1,0,0,54
2026-09-13T00:00:55.5864492Z,64.0876761,0 E:,0,693274,3,97,4,1,37
2026-09-13T00:00:55.5864492Z,64.0876761,1 D: C:,0,854500,93,7,0,1,37
2026-09-13T00:00:58.1869396Z,66.6879992,0 E:,0,0,99,1,0,0,22
2026-09-13T00:00:58.1869396Z,66.6879992,1 D: C:,46970,15656,99,1,0,0,22
2026-09-13T00:01:00.7846108Z,69.2855393,0 E:,0,32448118,0,100,518,1,23
2026-09-13T00:01:00.7846108Z,69.2855393,1 D: C:,62161,1818213,99,1,1,0,23
2026-09-13T00:01:03.3485569Z,71.8499093,0 E:,0,56891944,0,100,185,2,17
2026-09-13T00:01:03.3485569Z,71.8499093,1 D: C:,465669,8382047,97,3,2,0,17
2026-09-13T00:01:05.9815905Z,74.4827085,0 E:,0,726688,2,98,8,0,31
2026-09-13T00:01:05.9815905Z,74.4827085,1 D: C:,1033513,839761744,30,70,179,3,31
2026-09-13T00:01:08.5782185Z,77.0795456,0 E:,0,344461,0,100,261,1,22
2026-09-13T00:01:08.5782185Z,77.0795456,1 D: C:,0,125258,99,1,0,0,22
2026-09-13T00:01:11.2065866Z,79.70762549999999,0 E:,130134,1057339,1,99,117,1,40
2026-09-13T00:01:11.2065866Z,79.70762549999999,1 D: C:,0,16266,99,1,0,0,40
2026-09-13T00:01:13.7751554Z,82.2768538,0 E:,0,0,99,1,0,0,24
2026-09-13T00:01:13.7751554Z,82.2768538,1 D: C:,15779,157796,99,1,0,0,24
2026-09-13T00:01:16.3471621Z,84.8482768,0 E:,0,0,99,1,0,0,26
2026-09-13T00:01:16.3471621Z,84.8482768,1 D: C:,16003,592143,98,2,0,0,26
2026-09-13T00:01:18.9374135Z,87.4387161,0 E:,0,4608086,0,100,19,3,18
2026-09-13T00:01:18.9374135Z,87.4387161,1 D: C:,277409,0,99,1,0,0,18
2026-09-13T00:01:21.5181288Z,90.0193041,0 E:,0,70014716,0,100,101,1,24
2026-09-13T00:01:21.5181288Z,90.0193041,1 D: C:,0,479129,99,1,0,0,24
2026-09-13T00:01:24.1196581Z,92.6207323,0 E:,0,4931478,1,99,107,2,43
2026-09-13T00:01:24.1196581Z,92.6207323,1 D: C:,0,223432,99,1,0,0,43
2026-09-13T00:01:26.7033350Z,95.204656,0 E:,0,5401126,63,37,13,1,33
2026-09-13T00:01:26.7033350Z,95.204656,1 D: C:,285941,2033365,98,2,3,0,33
2026-09-13T00:01:29.2897860Z,97.7908581,0 E:,0,0,100,0,0,0,82
2026-09-13T00:01:29.2897860Z,97.7908581,1 D: C:,142330482,3250797,24,76,77,1,82
2026-09-13T00:01:31.8560301Z,100.3569493,0 E:,0,58736730,63,37,103,0,78
2026-09-13T00:01:31.8560301Z,100.3569493,1 D: C:,275911,0,99,1,0,0,78
2026-09-13T00:01:34.4439058Z,102.9450468,0 E:,0,0,0,100,0,2,31
2026-09-13T00:01:34.4439058Z,102.9450468,1 D: C:,309309,46396,99,1,0,0,31
2026-09-13T00:01:37.0766340Z,105.57799299999999,0 E:,0,151852675,1,99,472,1,29
2026-09-13T00:01:37.0766340Z,105.57799299999999,1 D: C:,0,0,99,1,0,0,29
2026-09-13T00:01:39.6599765Z,108.1614176,0 E:,0,63947718,0,100,110,8,34
2026-09-13T00:01:39.6599765Z,108.1614176,1 D: C:,0,79064,99,1,0,0,34
2026-09-13T00:01:42.2397471Z,110.74068009999999,0 E:,2668993,44868382,0,100,1365,3,35
2026-09-13T00:01:42.2397471Z,110.74068009999999,1 D: C:,0,341761,99,1,0,0,35
2026-09-13T00:01:44.8196763Z,113.32091849999999,0 E:,108719,99400511,0,100,140,2,30
2026-09-13T00:01:44.8196763Z,113.32091849999999,1 D: C:,434877,201907,99,1,0,0,30
2026-09-13T00:01:47.4163164Z,115.917352,0 E:,0,25153783,0,100,997,9,27
2026-09-13T00:01:47.4163164Z,115.917352,1 D: C:,0,96559,99,1,0,0,27
2026-09-13T00:01:50.0082478Z,118.509267,0 E:,155099,589376,5,95,16,1,25
2026-09-13T00:01:50.0082478Z,118.509267,1 D: C:,0,294688,99,1,0,0,25
2026-09-13T00:01:52.6171455Z,121.11839769999999,0 E:,0,4030350,1,99,11,1,24
2026-09-13T00:01:52.6171455Z,121.11839769999999,1 D: C:,0,503793,99,1,0,0,24
